,emotion,tweet
1703,joy,From Monday  the Railways will not run trains from Anand Vihar and all the platforms will be reserved for isolation coaches that the centre will provide to Delhi to meet the demands for hospital beds for Covid19 patients   DelhiFightsCorona  Delhi  Unlock1  pic twitter com LyLD3mFDj3
1704,sadness,But dear sir India cross 3lakh case the no of in are reducing daybyday  Now gujarat has highest death rates and from last 4days Anand having new cases  Since the  Unlock1 the cases are increasing  And situation is getting worse does we are in perfect position for hosting exams 
1705,joy, CoronaVirus  COVID19   Now  as the  Unlock1 has started  Corona positive cases have started appearing in local Anand area also  Earlier it was mainly in Khambhat   It s going to increase in all congested lane areas  Surprisingly  it hasn t appeared in poor unclean locality slums
1706,disgust, trendingnews  Unlock1  lockdown2020  Lockdown5  IndiaThatIsBharat  Following of Constitution   Respect Of Constitution  Can only bring life   hope in crawling Indian System   Democracy    Vijay Anand  https   m facebook com story php story_fbid 10213050404655261 id 1847276861 sfnsn wiwspmo extid 1NBCoHCLjAs1YwYY  
1707,joy,For Anand Vihar episodes of migrants   Then son of Uddhav Thackeray in Mumbai     It was opportunity to kick out migrants     And Piyush Goyal their Man Friday  even their partners       Rahul Gandhi and Priyanka Gandhi      unlock1  unlock  lockdownextension Amit Shah
1708,disgust,Services will resume from Bengaluru  Bellary  Raichur and Shahpur to select destinations in Andhra Pradesh from June 17    Unlock1  https   www hindustantimes com india news karnataka to resume public road transport operations to andhra pradesh from wednesday story iEnuGSxqaV2HJBppOeMcYO html  
1709,joy, Raichur  COVID19India  Unlock1  pic twitter com cQz0NCi034
1710,disgust, Unlock1 From 2104 cases on 1st June  the numbers stand at 6614 on date  5 districts identified as hotspot districts  identification of new containment zones in Bhubaneswar  Cuttack   Berhampur   with Monsoon sporadic  it s anybody s guess what will happen post 30 June   Unlock2 https   twitter com SujitBisoyiTOI status 1267370551313674241  
1711,disgust, https   odishabytes com odisha fights covid 19 heres the travel advisory for weekend shutdown in cuttack bhubaneswar     cpbbsrctc  Odisha  Coronavirus  COVID19  Unlock1  Bhubaneswar  Cuttack
1712,joy,Beautiful flowers on the way to  Bhubaneswar from  Cuttack  After three months  this was a welcome sight   Odisha  COVID19India  Unlock1  pic twitter com JUvWwavFVh
1713,sadness,Rain in Cuttack  Odisha   Unlock1  pic twitter com eDdS3qDPl5
1714,joy,List of what s    open   what s  locked   in  Odisha Complete shutdown on Saturdays   Sundays in 11dists   Ganjam  Puri  Nayagarh  Khurda  Cuttack  Jagatsinghpur  Kendrapara  Jajpur  Bhadrak  Balasore  Bolangir  Lockdown5  Unlock1  unlockone  UnlockingIndia  unlock_1  travel pic twitter com Hhrod7TqfE
1715,joy, Unlock1  Odisha orders complete shutdown on Saturdays   Sundays in 11 districts   Ganjam  Puri  Nayagarh  Khurda  Cuttack  Jagatsinghpur  Kendrapara  Jajpur  Bhadrak  Balasore  Bolangir  Chief Secretary  Curfew hours remained  unchanged  from 7pm to 7am in  Odisha
1716,joy,People Celebrating  Unlock1 at  ZobraBarrage    ZobraPark   Cuttack today evening    pic twitter com je5BAHj1U1
1717,anger,76 new  COVID19  cases  23 Dhubri 22 Darrang 12 Kamrup M 7 Dibrugarh 5 Barpeta 3 Dhemaji 2 Sonitpur 2 Bongaigaon   Total cases 2473   Recovered 588   Active cases 1878   Deaths 04  Today s total 230   Unlock1 has seen a huge rise in  COVID19  ve cases this week   AssamCovidCount
1718,disgust,Unlock1   Malda food distribution   TMC leader Akash Saha   Thequiry  https   youtu be 4_R6bum9xJk  via  YouTube  Thequiry1  BanglarGorboMB  malda
1719,disgust, JustGoofingAround  Unlock1  0   ToughDays during  Coronavirus  Pandemic Even though we are the fortunate ones as I look around via media      June24  Y2020   Steel City  Jamshedpur  India  https   www instagram com p CB0IqCJJmstbmCpx_vgtn1gLr0x_JrAUWKjrkE0  igshid 3jhwlo660gar  
1720,disgust, ICMR and  MoHFW  Press  Briefing on  serological  Survey  June11  Y2020  Unlock1  Lockdown5   Steel City  Jamshedpur  India  https   www instagram com p CBSsfJZABsh07f3OOxU4MbAy7L2ixSGMpTcTXs0  igshid f85843qs85k4  
1721,disgust, Internet  memes   Royu Ya  hasu  karumeinkyakaru  Unlock1  Lockdown5  June10  Y2020   Steel City  Jamshedpur  India  https   www instagram com p CBPhA1rgl4ObngjUeu09o1EuzF6o4QXluwYh9Y0  igshid g5nqxxpbbr3s  
1722,disgust,A ray of  hope amid  Chaos   Unlock1  Lockdown5  June10  Y2020  COVID19  Coronavirus  Pandemic   Steel City  Jamshedpur  India  https   www instagram com p CBPfh8IAc9bAQPkk6Gn9uTkVS71Y43fqcsQn4s0  igshid 1v8qm3wohoek9  
1723,disgust,Now  Testing for  COVID19 must ramped up as  India entered  Unlock1  June9  Y2020   Steel City  Jamshedpur  India  https   www instagram com p CBN_Z9BJ5_Z1w0MZHs7xEhtgjzlbXNRim efWU0  igshid 1g6mdban9dq30  
1724,disgust, COVID19  CoronaIndiaUpdates  No signs of flattening of the curve in  India as of  Today  June8  Y2020  Monday  Day76 of  allindia  Lockdown  Day8 of  Unlock1   Steel City  Jamshedpur    https   www instagram com p CBLxOqTJJJfN2rrC63v80FWDfsnYfjR9vm8Rok0  igshid 2ihlgo2eibl8  
1725,disgust, Unlock1  0   Day8  June8  Y2020  COVID19 induced  allindia  Lockdown   Steel City  Jamshedpur  India  https   www instagram com p CBKU4z2JMJWtFPKfj6hKCnZOHP1lawTlJY4b3M0  igshid vviat9dxdq2t  
1726,disgust, Special  Train during  unlock1  June4  Y2020   Steel City  Jamshedpur  India  https   www instagram com p CBA5BTZJQKi1C0dtkeSHTySQMit6qkEZwNF3fk0  igshid 17t16aym63jn6  
1727,joy, Entering  Tatanagar  Railway  Station  Traveling in  Train  Howrah   Barbil  JanShatabdi  Express  Special  Train  Unlock1  June4  Y2020   Steel City  Jamshedpur  India  https   www instagram com p CBAD0DtpovP3T 3G7PgZyCco4LTeoPtaa8hMAo0  igshid 14k8vl8hc8it  
1728,disgust, Train  Journey after  Two months  Unlock1  June3   Y2020   Steel City  Jamshedpur  India  https   www instagram com p CA_9NuvpfDAkZSgLo7HhWAR6NL_M4UbjU3xk1g0  igshid js1fhew4nlqt  
1729,joy, Journey following all safety  protocols  Tough  Times of  COVID19  Coronavirus  Pandemic  Wednesday  June3  Y2020  Unlock1    June1 to  June30  Year2020    Steel City  Jamshedpur  India  https   www instagram com p CA O0qNJd7U4Kb9sNm5BN2sXx9KHOBc1e xNxc0  igshid vklmu03citck  
1730,joy, Urgent  Travel during  COVID19  Pandemic  June3  Y2020  Tata    Howrah  JanShatabdi  Express  Train  unlock1  Coronavirus  Pandemic   Steel City  Jamshedpur  India  https   www instagram com p CA FmoJJdzsQIo8GiLjAuYpy5VjycJdvDO0iX00  igshid x3dr5nrjchsi  
1731,disgust, MoHFW  Government of  India  GovtOfIndia  Updates  COVID19  coronavirus  Pandemic  June2  Y2020  Unlock1  Lockdown5   Steel City  Jamshedpur  India  https   www instagram com p CA7mZH4p7lZZy7Fxejjax61DQ_WSfNc0zhApso0  igshid 1u13j336swlql  
1732,disgust, Transport problems in  Kolkata on  Day2 of  Unlock1 and  Lockdown5  June2  Y2020   Steel City  Jamshedpur  India  https   www instagram com p CA7kDMqp_Nv6XfmmrW8xwrDxhgaf4jl0qgK__E0  igshid m6wq5zbfd5ry  
1733,disgust, RailTravel during  Unlock1  Amidst  Coronavirus  Pandemic  June2  Y2020   Steel City  Jamshedpur  India  https   www instagram com p CA6wuM1J0nrHV ALKOfy3fKNQfrRwGCYG1U8SI0  igshid bbc3zuhbqmxz  
1734,disgust, Unlock1 on  June1 with clearing  Stubble  CleanShavenLook  Y2020   Steel City  Jamshedpur  India  https   www instagram com p CA441oWJt6Sl85Sn3CLlN69O7QjdTMDhLsVhzo0  igshid 5s775keglg7j  
1735,disgust, CoronaIndiaUpdates on  Day1 of  Unlock1 alongwith  COVID19 induced  Lockdown5  June1  Y2020   Steel City  Jamshedpur  India  https   www instagram com p CA4rLmuJElnjawsbx rLXkrOVOYZNvIwG3Pyrw0  igshid 7zczvgk63jz3  
1736,joy, Auto pack  Maruti  Suzuki  Data  marutisuzuki  June1st  Unlock1  0 Easing of  COVID19  Induced  allindia  Lockdown  Restrictions  June1  Y2020   Steel City  Jamshedpur  India  https   www instagram com p CA4QGr5prx1AeTAuZ4bIV1hWOCjoTTwO3Em6QU0  igshid 1ldb5p5cwpkvp  
1737,joy, Unlock1 in  Lockdown5  Amidst  CoronaBlast  May31  Y2020  Day68 of  COVID19 induced  allindia  Lockdown  Coronavirus  Pandemic   Steel City  Jamshedpur  India  https   www instagram com p CA25Z4Cpm0baWHgZtrSRL229v j_DNy7CHHO0s0  igshid 6tkwf8bw9d95  
1738,disgust, List    Chart of  Special  Trains apart from  shramikspecial  Train  Unlock1  0 From  June1  Y2020  indianrailways   Steel City  Jamshedpur  India  https   www instagram com p CA1eE49Jg7LZrKwS6dcwOZJlglyGuag4x_LU9M0  igshid 1u8hrjkyddrjl  
1739,joy, Unlock1 but  Lockdown continues in  Containment  Zones till  June30  Y2020  Dated   May30  Y2020  Day67 in  lockdown4   Steel City  Jamshedpur  India  https   www instagram com p CA0dJvapKfX59fi7RgGbRXDw7jJ_MjhBZl0B680  igshid 9q48jnhg46ar  
1740,joy,What is the  guidelines of  Unlock1  0    SocialDistancing and  Masks will be must   Day67 of  Lockdown  May30  Y2020   Steel City  Jamshedpur  India  https   www instagram com p CA0Vbaip02wP4tJ3S7HJQ9OtpPnqYAmeibUmWo0  igshid 1hx086xmshvms  
1741,anger,can anyone tell me that is  Jamshedpur is in containment zone      Lockdown5  Unlock1  HemantSorenJMM  anjanaomkashyap  narendramodi  PMOIndia  JharkhandCMO  PLEASE DO REPLY IF YOU KNOW ABOUT IT   
1742,joy,People from Gurugram  Faridabad  Ghaziabad and Noida entering Delhi after CM   ArvindKejriwal announced opening of Delhi s border  Unlock1  unlock2 pic twitter com UHyMB2hje5
1743,disgust,Religious places  hotels   malls in Gurgaon   Faridabad will continue to remain shut  after June 8  in view of rising number of  Covid19 cases  Other districts of Haryana to open these establishments under  Unlock1
1744,joy, Unlock1   Shopping malls in Haryana s Gurugram and Faridabad won t open for now    Central government has allowed many public places to reopen from June 8 under Unlock 1   pic twitter com sLFe6sRknM
1745,disgust,Malls and temples will not reopen in Gurgaon and Faridabad from June 8  Unlock1  Covid_19  https   www edtr ai nfb 
1746,disgust,Shopping malls and places of worship will not reopen for the public in  Gurgaon and  Faridabad districts of Haryana  which have been worst hit by  COVID19    Unlock1  https   www outlookindia com website story india news malls religious places not to open in gurgaon faridabad haryana minister anil vij 354277  
1747,joy, Haryana has decided to open certain activities from 8 June in regulated  restricted manner with all public health measures    Hotel Restaurants Hospitality services in state  Restaurant with 50   capacity    Shopping Malls   Religious places except Gurugram   Faridabad  Unlock1
1748,sadness,So much for  Unlock1  ArvindKejriwal  msisodia you are responsible for this mess do something or this is going to get worse   Haryana learn from  Delhi  mumbai mistakes before it gets worse   anilvijminister  mlkhattar  Rao_InderjitS  Gurugram  Delhi  sudhirsinglabjp  Faridabad
1749,sadness, Unlock1   Haryana Govt Allows Shopping Malls  Except In Gurugram And Faridabad  To Reopen From June 8  Details   https   news abplive com news india unlock 1 haryana govt allows shopping malls except in gurugram and faridabad to reopen from june 8 1253891   pic twitter com SmuTdKpOCY
1750,joy,Religious places  malls not to be opened in Gurugram and Faridabad   Unlock1  CoronavirusOutbreak  Haryana
1751,anger, BreakingNews  BREAKING  Haryana reports highest again spike in  coronavirus cases with 302  269  COVID19 in NCR districts of which 132 in  Gurugram  69 in  Faridabad 29 in  Sonipat  GurugramCoronaBulletin  DC_Gurugram  MunCorpGurugram  DC_Faridabad  anilvijminister  Unlock1  pic twitter com aJLLIaPc0J
1752,joy,Faridabad Corona list today cases incres 69 total Case 485  unlockone  Unlock1  Faridabad  aajtak  Covid_19  COVIDIOT pic twitter com KOuXZUkoSS
1753,disgust,Malls and hotels to remain closed in Faridabad too  Restaurant an open for delivery only   Unlock1  https   twitter com yashpalmurar status 1267457751090819072  
1754,joy,On  day1 of  Unlock1  0   Dehi    UP    UttarPradesh  ghaziabad  noida      Haryana    Gurgaon  Faridabad   border seal issues  June1st  June1  Y2020  coronavirus  Pandemic   Steel City    https   www instagram com p CA4s94SJLGPHjez0o9wDT76BOR5bu0jRDE9_A00  igshid s8zdq24xxba8  
1755,joy,Delhi Faridabad border  badarpur sarai border today   Long jam for entry checking Id and ES pass No entry to Delhi and vice versa    delhilockdown  Unlock1  Lockdown5  Delhi  Faridabad  badarpur pic twitter com Kj3mj7sfdj
1756,joy,Centre allowed inter state  intra state movement of people but gave power to States to decide  Economic activities in Delhi NCR are linked with people living in Noida  Ghaziabad  Gurugram  Faridabad  Will they open up roads to  Delhi     Unlock1  pic twitter com W0LvF4ORdm
1757,sadness,Gurugram   Faridabad in  unlock1   Good   Both are in Haryana Bad   Both share border with Delhi
1758,disgust, https   www facebook com 525403501 posts 10159935581158502     CMOMaharashtra  TejaswiSatpute  SataraPolice  satara  lockdown  Unlock1  pic twitter com q4MyCwknRf
1759,disgust,Tirupati Balaji  As soon as the temple opened  the employees donated more than Rs 65 lakh  http   vitorr com details detail_id 19316        tweet  twitter  vitorr  TirupatiTemple  donations  Unlock1  COVID19  coronavirus  news  onlinenews  share  follow
1760,sadness,As the famous Tirupati temple reopens after almost 80 days  ThePrint reports on the safety protocols being followed   how temple visits have becoming different in Covid times   Unlock1  https   youtu be J_sDIhzi2dw 
1761,disgust,Masked pilgrims  barbers in PPE and shorter queues as Tirupati temple reopens after 80 days    http   www esakal com   Sakal  SakalMedia  Sakalnews  Sakalupdates  News  Viral  Viralnews  Tirupati  Religion  Breaking  Trending  India  Religiousplaces  Unlock1  PPE  COVID19 pic twitter com i5wpAiSZXT
1762,disgust,Masked pilgrims  barbers in PPE and shorter queues as Tirupati temple reopens after 80 days    http   www sakaltimes com   Sakal  Sakaltimes  Sakalnews  Sakalupdates  News  Viral  Viralnews  Tirupati  Religion  Breaking  Trending  India  Religiousplaces  Unlock1  PPE  COVID19 pic twitter com 4vO4gfJEdY
1763,joy,Tirupati temple receives over Rs 25 lakh in hundi collection on first day   READ   http   toi in 763UXb a24gk   COVID19  Unlock1  pic twitter com 3DDgykJW71
1764,disgust,अनल क वन ल ग  झ ल य न तर द शभर त ल अन क म द र  भ व क  न  दर शनस ठ  ख ल  करण य त आल    Unlock1  Temples  UnlockIndia  Lockdown5  Ayodhya  GoldenTemple  Tirupati  Hanuman  Gorakhpur https   maharashtratimes com photogallery astro many temples and mosques were opened after 2 months in unlock 1 0 across the country photoshow 76261374 cms  
1765,joy, Watch   Tirumala Tirupati Temple decorated with flowers for 1st day darshan after lockdown     Unlock1  India     TirupatiTemple pic twitter com rF0uVqfaVF
1766,joy,Watch  Andhra Pradesh s Tirupati Tirumala temple  the richest and most visited temple in the world  reopens today   umasudhir s special report on what s changed     unlock1  pic twitter com 8p8BSRTYIC
1767,joy,Tirupati Temple all set to welcome devotees  check TTD darshan guidelines here   Unlock1  Tirumala  TirupatiTemple  LordBalaji http   oneindia com india unlock 1 0 tirupati temple opens check guidelines for darshan 3101132 html  
1768,sadness,आम ल ग 11 ज न स  कर प ए ग  त र पत  ब ल ज  क  दर शन  हर घ ट  म   क वल 500 ल ग   क  म ल ग  अन मत   CoronavirusPandemic  Unlock1  Tirupati  TirupatiBalajiTemple https   www amarujala com india news tirupati balaji temple to reopen june 11 online ticket sale from monday src top lead  
1769,joy,Trial run of darshan being conducted at  Tirumala with  TTD employees and locals   Video   Madhav K   NewIndianXpress  TirumalaTirupatiDevasthanam  Tirupati  Unlock1  religiousplaces  temple  APFightsCoronaVirus pic twitter com i74fWV1nej
1770,anger,Daily wage workers are getting back to work during  Unlock1 in Tirupati   Express Photos   Madhav K  xpressandhra pic twitter com lcvxj50QYf
1771,disgust,Daily wage workers resume work near  Tirupati    Video   Madhav K   NewIndianXpress  Unlock1  Lockdown5  construction  relaxations pic twitter com yPEDiyZ9Fe
1772,joy,Sabarimala  Tirumala Tirupati Devasthanams temples to reopen for devotees from June 8  Kerala CM  TTD secretary assure to follow MHA s social distancing norms     Unlock1  MHA  SocialDistancing  Sabarimala  TirumalaTirupatiDevasthanams  PinarayiVijayan https   www latestly com india news sabarimala tirumala tirupati devasthanams temples to reopen for devotees from june 8 kerala cm ttd secretary assure to follow mhas social distancing norms 1803672 html  
1773,joy,With several businesses back on track  a fruit vendor waits in the hope of getting customers in Tirupati  Photo   Madhav K   NewIndianXpress  Unlock1  Lockdown5 pic twitter com 90tWBNsP8p
1774,disgust, Unlock1  Tirupati SP reviews preparedness as Lord Balaji Temple in Andhra prepares for darsanams   BalajiTemple  Tirupati  AndhraPradesh  AvulaRameshReddy http   www catchnews com india news unlock1 tirupati sp reviews preparedness as lord balaji temple in andhra prepares for darsanams 192623 html utm_source CatchNewsFacebook utm_medium Social  
1775,sadness,आ ध र प रद श सरक र न  त र म ल  क  प रस द ध ब ल ज  म द र म   दर शन फ र स  श र  करन  क  इज जत द  द  ह  ल क न इसक  ल ए द  ल ग   क  ब च छह फ ट क  द र  जर र  ह ग     Unlock1  Tirupati  https   www abplive com news andhra pradesh devotees will be able to see tirupati balaji distance of six feet will be necessary 1419335  
1776,joy,In Pics  Pending intermediate second year exams were held in Tirupati on Wednesday    Photos   Madhav K   NewIndianXpress  AndhraFightsCorona  Unlock1  pic twitter com 5kMMuFKgka
1777,sadness,Tirupati temple likely to open on June 8  to hold  trial run of darshan  with limited devotees  Tirupati  CoronavirusIndia  Covid_19  Unlock1  lockdownextension pic twitter com YooVHEJ16V
1778,sadness,Tirupati temple likely to open on June 8  to hold  trial run of darshan  with limited devotees   Tirupati  CoronavirusIndia  Covid_19  Unlock1  lockdownextension https   www indiatvnews com news india tirupati temple likely to open on june 8 trial run of darshan with limited devotees 622792  
1779,joy,As the  Unlock1 begins  people across India have started  stretching  their legs despite the rise in  COVID19 cases   Place  Tirupati  Express Photos   Madhav K  xpressandhra pic twitter com GCF0nhUczK
1780,disgust, Unlock1 Tarapith  Tirupati  Jagannath  Meenakshi Temples   What is Opening And From When    https   www india com news india unlock 1 0 tarapith tirupati jagannath meenakshi temples what is opening and from when 4044922   
1781,joy, PhysicalDistancing norms went for a toss as hundreds of passengers throng  Tirupati Railway Station  Photo   Madhav K   NewIndianXpress  Lockdown5  unlock1  pic twitter com Ksbs4uxUoQ
1782,joy, Hyderabad people  queued up in a line as Tirumala Tirupati Devasthanams  TTD  begins sale of Tirupati laddu at Himayat Nagar in Hyderabad on Sunday  Express S Senbagapandiyan   Unlock1  Unlock1Point0 pic twitter com rXlYlYcMsP
1783,joy,Staff cleaning  KodandaRamaSwamy Temple  a  church being readied for  devotees ahead of  reopening of  religious places from June 8 in  Tirupati   Video   Madhav K   NewIndianXpress  Unlock1  Lockdown5 pic twitter com AMPgHj0y1P
1784,sadness, DC_Gurugram  gurgaonpolice  ggncommcircle  cmohry   Do we need to apply for any pass to travel from Gurgaon HR  to Uttar Pradesh  Jhansi by personal vehicle   Please update urgently   Require due to some urgency    Unlock1
1785,sadness, Covid_19  coronavirus  Delhi  June9  JharkhandfightsCOrona  IndiaFightsCOVID19  Ranchi  Breaking_News  Lockdown5  Unlock1  pic twitter com BTJ7eCpjme
1786,disgust,झ रख ड  ब त  24 घ ट  म   म ल  क र न  क  र क र ड 105 नय  स क रम त  आ कड   पह  च  1135  Jharkhand  Ranchi  COVIDー19  unlock1  coronavirus  corona  MigrantWorkers  MondayMorning  COVID19  COVID  CoronaVirusUpdate https   www panchayattimes com jharkhand reports 105 new covid 19 cases in the past 24 hour   
1787,joy,क र न   झ रख ड म   शन व र क  म ल  90 नय  मर ज   क  स थ 1023 पह  च  र ज य म   स क रम त   क  आ कड    Jharkhand  Ranchi  COVIDー19  unlock1  coronavirus  corona  MigrantWorkers  COVID19  COVID  CoronaVirusUpdate https   www panchayattimes com covid 19 positive cases reached 1023 in jharkhand after 90 new added   
1788,disgust,झ रख ड सरक र न  अनल क 1 म   क य  कई छ ट   क  ऐल न  Jharkhand  Ranchi  COVIDー19  unlock1  coronavirus  corona  COVID19  WorldEnvironmentDay https   www panchayattimes com jharkhand government gives certain relaxation cin unlock 1   
1789,joy,झ रख ड म   म ल  45 नय  क र न  प ज ट व  स क रम त   क  स ख य  ह ई 826  Jharkhand  Ranchi  COVIDー19  unlock1  coronavirus  corona  MigrantWorkers  COVID19 https   www panchayattimes com forty five new covid19 cases found today in jharkhand   
1790,joy,In Unlock 1 0  i will be going to Ranchi  to meet my friend  rk24040  carandbike  weeklycontest  CNBCONTEST  Unlock1  Tagging  RashRao1   ChanderParvesh  HimanshuBangia1  digesh_nanda  Krishan31220684
1791,joy,झ रख ड  ड क टर व र म स क  च र कर म य   सह त म ल  56 मर ज  र ज य म   स क रम त   क  क ल स ख य  ह ई 731  Jharkhand  Ranchi  COVIDー19  unlock1  coronavirus  corona https   www panchayattimes com fifty six new covid19 positive founds yesterday in jharkhand   
1792,disgust,क  द र सरक र द व र  100 ज ड   ट र न   चल ई ज  रह  ह   ल क न झ रख ड क  ल ए एक भ  ट र न नह     स प र य  भट ट च र य  HemantSorenJMM  JmmJharkhand  Supriyo67051218  Jharkhand  Ranchi  COVID19  coronavirus  Trains  Unlock1  https   www panchayattimes com central government plying several trains but none for jharkhand said jmms supriyo bhattacharya   
1793,disgust,झ रख ड  द क न   ख लन  स  ब ज र   म   ल ट  र नक  ऑट  ई र क श  भ  लग  चलन   Jharkhand  Ranchi  COVIDー19  unlock1  coronavirus  corona https   www panchayattimes com with the opening of shops normalcy returns in the most part of the jharkhand   
1794,disgust,क  द र न  र ज य   क  भगव न  भर स  छ ड  द य   ह म त स र न  HemantSorenJMM  India  Jharkhand  Ranchi  COVIDー19  unlock1  coronavirus  corona https   youtu be TT5BjyITAGI 
1795,disgust,र  च  म   म ठ ई द क न ख लन  क  ब द द क नद र   क  च हर  पर द ख  म स क न  Jharkhand  Ranchi  COVIDー19  unlock1  coronavirus  India https   www youtube com watch v bkmceHFPCsQ feature youtu be  
1796,joy, Unlock1   02365  JanShatabdi special train leaves  Patna station for  Ranchi at early morning today     IndiaFightsCorona pic twitter com Z8mNS7y8VR
1797,sadness,Don t know when my area Hindpiri  Ranchi will open every patient is recovered but still it s lock    HemantSorenJMM  Unlock1
1798,disgust, Ratlam   शहर म   24 ल ग   क  क र न  र प र ट आई प ज ट व   एक ब ब  क  वजह स  24 ल ग क र न  प ज ट व   COVID2019  IndiaFightsCoronavirus  Lockdown5  Lockdownextention  UNLOCK1  MPNews   फ ल  कर      Rachana_Nitesh  LIVETV    http   ibc24 in livetv  https   www youtube com watch v  3QBG8VNevA  
1799,disgust,NEWS Updates      unlock  unlock1  lockdown5  jaora  ratlam  indore  mumbai  delhi  madhyapradesh  bhopal  indiafightscorona  india   India  https   www instagram com p CA1b0llp9qV  igshid 1xcrf9gg8f292  
1800,joy,South India   Unlock1   Places of worship  malls  dine in restuarants  hospitality industry set to open from tomorrow in Karnataka  Telenganna  Andhra Pradesh  Kerala and Pondicherry   In TN  dine in restuarants will open  The border restrictions continues for districts zones 
1801,joy, Pondicherry Beach  which was closed since Mar 25  has been re opened  today for public  Excellent decision as it will benefit plenty of walkers     Places of worship  restuarants  hotels  malls will also open from June 8     Unlock1
1802,joy, Stop looking for reasons to be unhappy  Focus on the things you do have  and the reasons you should be happy   म र  क स  म त र न  म झ  य  क ट भ ज  ह    सचम च ह  व च रण य और अमल करन  ल यक  ह     श भर त र      walk  health  relax  Jabalpur  British_Era  freinds  unlock1  pic twitter com M2XHRbJZ93
1803,joy,ट र ग ट अच व ड    भ वरत ल  व क  म र न  ग_व क  morning_walk  Jabalpur  smart_city  Unlock1  pic twitter com Iv9S6vN9t4
1804,sadness, jabalpurdm  jabalpurpolice  ChouhanShivraj Seeking help   As our senior citizen parents are facing issues with the society commity members after there return to jabalpur after unlock1 from Noida  up  to there own home  They already under self quarantine mode 
1805,disgust, Jabalpur    कर ब 78 द न ब द फ र ख ल  म ल  ब न   Mask ल ग   क  नह   द य  ज  रह  प रव श  द ख ए   COVID2019  IndiaFightsCoronavirus  Lockdown5  Lockdownextention  UNLOCK1  MPNews   फ ल  कर      jyotisingh10101  LIVETV    http   ibc24 in livetv  https   www youtube com watch v DTW8XZzzUD0  
1806,disgust, Jabalpur   व य प र य   न  ल कड उन क  बन य  मज क  जमकर मन ई प र ट   क र स  न क ल  ज ल स   LockdownIsLifeline  COVID2019  IndiaFightsCoronavirus  Lockdown5  Lockdownextention  UNLOCK1   फ ल  कर      jyotisingh10101  LIVETV    http   ibc24 in livetv  https   www youtube com watch v 6rI480ksRIk  
1807,anger,Day63  Unlock1 Sanitization Drive at Secunderabad  VCommoners  VCommoners  coronavirus  BJP4India  BJYM  BJP4Telangana  JPNadda  PMuralidharRao  OfficeofPoonamM  Dattatreya  ReddyPonguleti  DrGaddamVivek  bandisanjay_bjp  kishanreddybjp  Arvindharmapuri  blsanthosh  satyakumar_y pic twitter com E587DzYK0n
1808,joy,Day 61  Unlock1 Sanitization Drive at Secunderabad   VCommoners swore 2 serve the mass by adopting best sanitization practices  VCommoners  BJP4India  BJYM  BJP4Telangana  PMOIndia  JPNadda  PMuralidharRao  satyakumar_y  blsanthosh  OfficeofPoonamM  DrGaddamVivek  kishanreddybjp pic twitter com 6Jzlpdqmuy
1809,joy,After two months of wait  First Train Service from  Hyderabad    NewDelhi  SpecialTrain started from  Secunderabad Rly Station  ensuring  SocialDistanacing wearing of  Masks  RailMinIndia  SCRailwayIndia  IndianRailways  NewNormal  Unlock1  pic twitter com HSbWBJXfsS
1810,sadness, Rajasthan  Covid_19  8 30pm update  277new  ve   6 Deaths reported 67  Alwar 60  Bharatpur 36  Jodhpur 34  Jaipur 12  Kota 11  Pali 10  Sirohi  Cumulative ve10876 Active ve 2513 Deaths 246 Migrants ve 3125 Cured 8117 Discharged 7714   Unlock1  StayHomeStaySafe Detailed chart   pic twitter com RWd7AUsdDJ
1811,sadness, Rajasthan  Covid_19  8 30pm update  277new  ve   6 Deaths reported 67  Alwar 60  Bharatpur 36  Jodhpur 34  Jaipur 12  Kota 11  Pali 10  Sirohi  Cumulative ve10876 Active ve 2513 Deaths 246 Migrants ve 3125 Cured 8117 Discharged 7714   Unlock1  StayHomeStaySafe Detailed chart   pic twitter com EBnRHPRA6E
1812,sadness, Rajasthan  Covid_19  8 30pm update  277new  ve   6 Deaths reported 67  Alwar 60  Bharatpur 36  Jodhpur 34  Jaipur 12  Kota 11  Pali 10  Sirohi  Cumulative ve10876 Active ve 2513 Deaths 246 Migrants ve 3125 Cured 8117 Discharged 7714   Unlock1  StayHomeStaySafe Detailed chart   pic twitter com q79G7rMeez
1813,sadness, Rajasthan  Covid_19  8 30pm update  277new  ve   6 Deaths reported 67  Alwar 60  Bharatpur 36  Jodhpur 34  Jaipur 12  Kota 11  Pali 10  Sirohi  Cumulative ve10876 Active ve 2513 Deaths 246 Migrants ve 3125 Cured 8117 Discharged 7714  Unlock1  StayHomeStaySafe Detailed chart   pic twitter com CraSw0AfCB
1814,sadness, Rajasthan  Covid_19  8 30pm update  277new  ve   6 Deaths reported 67  Alwar 60  Bharatpur 36  Jodhpur 34  Jaipur 12  Kota 11  Pali 10  Sirohi  Cumulative ve10876 Active ve 2513 Deaths 246 Migrants ve 3125 Cured 8117 Discharged 7714   Unlock1  StayHomeStaySafe Detailed chart pic twitter com ogasKXTTWU
